SampleName,ExposureRate_mGh,Week,Replicate,TotalExposure_mG
dA_W1_R1,0.001,1,1,0.168
dA_W1_R2,0.001,1,2,0.168
dA_W2_R1,0.001,2,1,0.336
dA_W2_R2,0.001,2,2,0.336
dA_W3_R1,0.001,3,1,0.504
dA_W3_R2,0.001,3,2,0.504
dB_W1_R1,0.01,1,1,1.68
dB_W1_R2,0.01,1,2,1.68
dB_W2_R1,0.01,2,1,3.36
dB_W2_R2,0.01,2,2,3.36
dB_W3_R1,0.01,3,1,5.04
dB_W3_R2,0.01,3,2,5.04
dC_W1_R1,0.1,1,1,16.8
dC_W1_R2,0.1,1,2,16.8
dC_W2_R1,0.1,2,1,33.6
dC_W2_R2,0.1,2,2,33.6
dC_W3_R1,0.1,3,1,50.4
dC_W3_R2,0.1,3,2,50.4
dD_W1_R1,1.0,1,1,168.0
dD_W1_R2,1.0,1,2,168.0
dD_W2_R1,1.0,2,1,336.0
dD_W2_R2,1.0,2,2,336.0
dD_W3_R1,1.0,3,1,504.0
dD_W3_R2,1.0,3,2,504.0
dE_W1_R1,2.0,1,1,336.0
dE_W1_R2,2.0,1,2,336.0
dE_W2_R1,2.0,2,1,672.0
dE_W2_R2,2.0,2,2,672.0
dE_W3_R1,2.0,3,1,1008.0
dE_W3_R2,2.0,3,2,1008.0
d0_W0_R1,Control,0,1,0.0
d0_W1_R1,Control,1,1,0.0
d0_W1_R2,Control,1,2,0.0
d0_W2_R1,Control,2,1,0.0
d0_W2_R2,Control,2,2,0.0
d0_W3_R1,Control,3,1,0.0
d0_W3_R2,Control,3,2,0.0
